exclusion_id,analysis_profile,granularity,token_id,locus_id,source_reference,reason_code,resolution_status,related_passage_ids_json,source_id,source_version
X_CLAUSE_e7e76da065002a6342595a387b2f7ac3be36e49726cd01ae6e294b67be868df2,edition_complete,clause,HB_ECCL_006_010_0014~557bb29c8ade,KQL_ECC_006_010_0014,ECC 6:10,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_e6acfd5df8179c7fb30ed798f3dc8f9750cf1a96513325a46917a8d4859a88de,edition_complete,clause,HB_ESTH_003_004_0002~ffffc261a9ea,KQL_EST_003_004_0002,EST 3:4,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_141e1a811b46eaafde12498f8f33027e1b21e982a03648c4662bee4a099dcfe5,edition_complete,clause,HB_ESTH_009_018_0001~97eeab46b13f,KQL_EST_009_018_0001,EST 9:18,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_dc5827cc6dcf0fa0fb9ebefe7e74e89229933f850ae2f2139476217c4744cdbf,edition_complete,clause,HB_EXOD_016_002_0001~a7f5d1a97d24,KQL_EXO_016_002_0001,EXO 16:2,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_18f8a8589a67b47a52cfcace49e2a21e6a62537e48c19760de63bf00c0944b42,edition_complete,clause,HB_EXOD_027_011_0008~6a9c3dc2f499,KQL_EXO_027_011_0008,EXO 27:11,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_d0638591a9f327251eed13918189053b3d2730ec1bd22b347295b68bd75a0777,edition_complete,clause,HB_EZEK_016_059_0006~d6f385c8843f,KQL_EZK_016_059_0006,EZK 16:59,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_9023ba8f9deb83d8bec7f9668a549743c66429ad341b727688757b8cc907aae2,edition_complete,clause,HB_EZEK_018_028_0002~4010d819e6c5,KQL_EZK_018_028_0002,EZK 18:28,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_a87b3006d3f157a1a1ee5c971b5bd7ecdf1597dc1b49e9a64259c637782d829a,edition_complete,clause,HB_EZEK_001_008_0001~1e72ff6fb7a2,KQL_EZK_001_008_0001,EZK 1:8,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_b5529f620e7c6ead70426b953c7b36f7e061f6ebda27e692f85c6bea3da89a77,edition_complete,clause,HB_EZEK_021_028_0003~3206df7a1164,KQL_EZK_021_028_0003,EZK 21:28,ketiv_clause_mapping_unresolved,unresolved,"[""P_HB_EDITION_COMPLETE_KETIV_CLAUSE_EZK_021_028~a539a328ad68629c26820ad6d8fceeae670b42d89398f416b02c740895a14883""]",oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_b85ab671b874771a81728e1904ddf582d61f91b37c33b9c94717b3e69100335a,edition_complete,clause,HB_EZEK_023_016_0001~10f4d8b0a0a3,KQL_EZK_023_016_0001,EZK 23:16,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_1fc7d76420b9d92c11dc23867cafe4a111382b054d27f082e61c58c67d7d8970,edition_complete,clause,HB_EZEK_027_003_0003~aab301c2092c,KQL_EZK_027_003_0003,EZK 27:3,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_3e6ee177ade58e2e60023202163ff3b89169ca558245793c4f9c3dcea0659eea,edition_complete,clause,HB_EZEK_036_014_0006~fca60f424e91,KQL_EZK_036_014_0006,EZK 36:14,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_7fd992f75b48b801dabdce5c855582b40a3bc52e77ff4e60025eb42f68b0272a,edition_complete,clause,HB_EZEK_036_015_0012~4d13b5c55cdc,KQL_EZK_036_015_0012,EZK 36:15,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_ae5d7225ab6117fc65c5a5003f787ce2d8bc9c7385ec3aae03cd85f79f5c39a9,edition_complete,clause,HB_EZEK_003_015_0010~24950be89020,KQL_EZK_003_015_0010,EZK 3:15,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_5fad555e651cfb0ea816612609322e35e74402cb37d30eb6e0fec43c763dc582,edition_complete,clause,HB_EZEK_040_021_0001~36d09cc07e17,KQL_EZK_040_021_0001,EZK 40:21,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_dd6ea645d06462305ce18e7f87bbfb27151abd0441f9b5c8c384e168bd4fe350,edition_complete,clause,HB_EZEK_040_021_0007~28cb4880be92,KQL_EZK_040_021_0007,EZK 40:21,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_82c707ecd3e4e473e8d4d514ab6c48a9038e54c92c4c4ee3a1b4334db47f4f80,edition_complete,clause,HB_EZEK_040_022_0001~7cf0d659060f,KQL_EZK_040_022_0001,EZK 40:22,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_8e24d5991428ff0176c16d5cbc6cb6ff4b26498e5df71a13f9712616620ff67f,edition_complete,clause,HB_EZEK_040_022_0017~a6235312c8ba,KQL_EZK_040_022_0017,EZK 40:22,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_3a503d63c1488b38394513fbac821624f2ac6c32ae7492e43e0c050d155ccd2f,edition_complete,clause,HB_EZEK_040_026_0005~8c32af0f547a,KQL_EZK_040_026_0005,EZK 40:26,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_8158fdcb45998e51cf3a79b6757246fc978ff0c6394c0aa7d38642b74f8b3f04,edition_complete,clause,HB_EZEK_040_029_0001~678ac1fa02bc,KQL_EZK_040_029_0001,EZK 40:29,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_0f5afeea2193704cdf1ad6843a7388bf250fc34c443cf4a0375b0ed8a5255197,edition_complete,clause,HB_EZEK_040_033_0001~94630a34951a,KQL_EZK_040_033_0001,EZK 40:33,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_3b843ab68614d7a1b5cbad490d5c62d97b99f271b2c9e4b8b8a4a426e9719f23,edition_complete,clause,HB_EZEK_040_034_0001~d32bd24b1ec6,KQL_EZK_040_034_0001,EZK 40:34,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_332ddc7db2d6c2dbecbadbe6925a7b7475688018171c07236052caa310761c09,edition_complete,clause,HB_EZEK_040_037_0001~e3c035f7c60e,KQL_EZK_040_037_0001,EZK 40:37,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_f3866beb096b7765d40a5207bd74fc0613eb66b1b96ad16c8bce6fc12b547030,edition_complete,clause,HB_EZEK_040_009_0007~a0a6dfcd4550,KQL_EZK_040_009_0007,EZK 40:9,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_bb0bb80f365893d40cab482b47a511726b4658c7550ca8860abc191146c57215,edition_complete,clause,HB_EZEK_042_014_0018~697b4d47ae55,KQL_EZK_042_014_0018,EZK 42:14,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_ea5231310d6c294b182ff841ad3d6dee161b2842c8a25f38a2a4af53a1d89206,edition_complete,clause,HB_EZEK_042_009_0001~5f18a60bcaac,KQL_EZK_042_009_0001,EZK 42:9,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
