book,source_reference,analysis_profile,mapping_status,mapping_confidence,reference_gap,disputed_passage,risk_type,endpoint_count,sample_ordinal
2CH,2Chr.1.1-2Chr.1.12,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
2CH,2Chr.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,21,3
2CH,2Chr.14.15,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,5,1
2CH,2Chr.2.18,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,6,2
2CO,2Cor.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,49,1
2CO,2Cor.1.1-2Cor.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
2CO,2Cor.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,31,3
2CO,2Cor.13.14,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,65,1
2CO,2Cor.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,49,1
2CO,2Cor.1.1-2Cor.1.2,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
2CO,2Cor.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,31,3
2CO,2Cor.13.14,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,65,1
2JN,2John.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,30,1
2JN,2John.1.1-2John.1.13,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,2
2JN,2John.1.1-2John.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,3
2JN,2John.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,30,1
2JN,2John.1.1-2John.1.13,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,2
2JN,2John.1.1-2John.1.2,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,3
2KI,2Kgs.11.21-2Kgs.12.15,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
2KI,2Kgs.11.21-2Kgs.12.2,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,2
2KI,2Kgs.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,9,1
2KI,2Kgs.1.1-2Kgs.1.18,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
2KI,2Kgs.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,25,3
2KI,2Kgs.11.21,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,7,1
2KI,2Kgs.11.21-2Kgs.12.15,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
2KI,2Kgs.11.21-2Kgs.12.2,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1,2
2KI,2Kgs.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,9,1
2KI,2Kgs.1.1-2Kgs.1.18,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
2KI,2Kgs.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,25,3
2KI,2Kgs.11.21,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,7,1
2PE,2Pet.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,97,1
2PE,2Pet.1.1-2Pet.1.3,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
2PE,2Pet.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,48,3
2PE,2Pet.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,97,1
2PE,2Pet.1.1-2Pet.1.3,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
2PE,2Pet.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,48,3
2SA,2Sam.18.19-2Sam.18.33,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
2SA,2Sam.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,6,1
2SA,2Sam.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,11,2
2SA,2Sam.1.11,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,15,3
2SA,2Sam.18.33,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,27,1
2SA,2Sam.18.19-2Sam.18.33,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
2SA,2Sam.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,6,1
2SA,2Sam.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,11,2
2SA,2Sam.1.11,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,15,3
2SA,2Sam.18.33,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,27,1
2TH,2Thess.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,16,1
2TH,2Thess.1.1-2Thess.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,2
2TH,2Thess.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,63,3
