book,analysis_profile,mapping_status,mapping_confidence,reference_gap,disputed_passage,risk_type,endpoint_count
EXO,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,3
EXO,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,19479
EXO,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,49
EXO,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,3
EXO,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,19479
EXO,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,49
EZK,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,2
EZK,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,24783
EZK,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,107
EZK,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,2
EZK,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,24783
EZK,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,107
EZR,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3549
EZR,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3549
GAL,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,5398
GAL,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,5398
GEN,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1
GEN,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,24600
GEN,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,26
GEN,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1
GEN,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,24600
GEN,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,26
HAB,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1752
HAB,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1752
HAG,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,902
HAG,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,902
HEB,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,12462
HEB,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,12462
HOS,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,21
HOS,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,6257
HOS,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,192
HOS,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,21
HOS,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,6257
HOS,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,192
ISA,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,29
ISA,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,44266
ISA,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,47
ISA,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,29
ISA,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,44266
ISA,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,47
JAS,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4741
JAS,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4741
JDG,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,7392
JDG,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,7392
JER,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,20
JER,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,35772
JER,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,34
JER,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,20
JER,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,35772
JER,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,34
JHN,critical_core,excluded_by_profile,profile_excluded,False,True,disputed_passage,190
JHN,critical_core,mapped_partial,partial_provisional,False,True,disputed_passage,4
JHN,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,24459
JHN,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,24459
JHN,edition_complete,mapped_provisional,provisional_mechanical,False,True,disputed_passage,194
JOB,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,12
JOB,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,17428
JOB,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,30
JOB,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,12
JOB,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,17428
JOB,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,30
JOL,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,15
JOL,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1409
JOL,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,630
JOL,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,15
JOL,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1409
JOL,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,630
JON,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1
JON,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1048
JON,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,20
JON,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1
JON,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1048
JON,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,20
JOS,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,8904
JOS,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,8904
JUD,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1249
JUD,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1249
LAM,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3842
LAM,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3842
LEV,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,2
LEV,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,12075
LEV,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,98
LEV,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,2
LEV,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,12075
LEV,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,98
LUK,critical_core,mapped_partial,partial_provisional,True,False,reference_gap,10
LUK,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,24164
LUK,edition_complete,mapped_partial,partial_provisional,True,False,reference_gap,10
LUK,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,24164
MAL,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,2
MAL,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2266
MAL,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,394
MAL,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,2
MAL,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2266
MAL,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,394
MAT,critical_core,mapped_partial,partial_provisional,True,False,reference_gap,33
